name,status,category,NEW PRODUCT,new price
BEETROOT & ROSEMARY SOURDOUGH,DEACTIVE,BREAD,,
DIEGOS CLASSIC CHAPATI,DEACTIVE,BREAD,,
DIEGOS GARLIC CHAPATI,DEACTIVE,BREAD,,
FILLA TURKISH BREAD,DEACTIVE,BREAD,,
FILLA TURKISH ROLLS,DEACTIVE,BREAD,,
FILLA WHITE,DEACTIVE,BREAD,,
FILLA WHOLEMEAL,DEACTIVE,BREAD,,
FILLA WHOLEMEAL WRAP,DEACTIVE,BREAD,,
GOLD MAX BROWN,DEACTIVE,BREAD,,
GOLD MAX GRAIN,DEACTIVE,BREAD,,
GOLD MAX WHITE,DEACTIVE,BREAD,,
ITALIAN CIABATTA,DEACTIVE,BREAD,,
ITALIAN FOCACCIA,DEACTIVE,BREAD,,
SHIRAZ TAFTOON,,BREAD,,$4.50 
SHIRAZ TURKISH BREAD,,BREAD,,$5.50 
TURKISH PIDE,DEACTIVE,BREAD,,
BARAMBAH CHEDDAR SHREDDED 250G,DEACTIVE,DAIRY,,
BARAMBAH FETA 200G,DEACTIVE,DAIRY,,
BARAMBAH FETA IN BRINE,DEACTIVE,DAIRY,,
BARAMBAH LACTOSE 1L,DEACTIVE,DAIRY,,
BARAMBAH MILK FULL CREAM 1L,DEACTIVE,DAIRY,,
BARAMBAH SMOOTHIE,DEACTIVE,DAIRY,,
BATH MILK,DEACTIVE,DAIRY,,
BODY CREAM,DEACTIVE,DAIRY,,
BULGARIAN SHEEP'S FETA,,DAIRY,NEW PRODUCT,$7.99 
COCOBELLA YOGHURT 150G,DEACTIVE,DAIRY,,
COCOBELLA YOGHURT 500G,DEACTIVE,DAIRY,,
DAIRY FARMERS LITE 1L,DEACTIVE,DAIRY,,
DAIRY FULL CREAM 2L,DEACTIVE,DAIRY,,
DANISH BLUE CHEESE,,DAIRY,NEW PRODUCT,$6.49 
FRESCO DANISH FETTA,DEACTIVE,DAIRY,,
FRESCO MASCARPONE,DEACTIVE,DAIRY,,
LOCO CREAM VARIETY,DEACTIVE,DAIRY,,
MALENY 1LT,DEACTIVE,DAIRY,,
MALENY 1LT GOLD,DEACTIVE,DAIRY,NEW PRODUCT,$3.50 
MALENY APRICOT YOGHURT,DEACTIVE,DAIRY,,
MALENY STRAW \BERRY YOGHURT,DEACTIVE,DAIRY,,
MALENY YOGHURT 210G,DEACTIVE,DAIRY,,
