Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
flower,FLOWER,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/FLOWER.png?v=1708176064,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
flowers,FLOWERS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/FLOWER_8e6457cf-3dd9-4f86-969b-f580ddab2281.png?v=1708176075,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
ssm-frozen-cassava,SSM FROZEN CASSAVA,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/SSMFROZENCASSAVA.png?v=1708341985,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
seastar-fish-fillets,SEASTAR FISH FILLETS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,9.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/SEASTARFISHFILLETS.png?v=1708331425,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
seastar-crumbed-rings,SEASTAR CRUMBED RINGS,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/SEASTARCRUMBEDRINGS.png?v=1708331414,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
seapride-baby-octopus,SEAPRIDE BABY OCTOPUS,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/SEAPRIDEBABYOCTOPUS.png?v=1708331403,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
peeled-raw-prawns,PEELED RAW PRAWNS,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/PEELEDRAWPRAWNS.png?v=1708325138,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
peeled-cooked-prawns,PEELED COOKED PRAWNS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,19.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/PEELEDCOOKEDPRAWNS.png?v=1708325121,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
parmesan-shaved-250g,PARMESAN SHAVED 250G,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,7.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/PARMESANSHAVED250G.png?v=1708324392,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
panko-squid-rings,PANKO SQUID RINGS,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/PANKOSQUIDRINGS.png?v=1708324324,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
jiffy-baby-octopus,JIFFY BABY OCTOPUS,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/JIFFYBABYOCTOPUS.png?v=1708259796,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
french-stick,FRENCH STICK,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/FRENCHSTICK.png?v=1708176231,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
casalingo-eye-bacon,CASALINGO EYE BACON,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/CASALINGOEYEBACON.png?v=1708156086,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
boscone-chicche,BOSCONE CHICCHE,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BOSCONECHICCHE.png?v=1708107086,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
basa-fillets,BASA FILLETS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,8.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BASAFILLETS.png?v=1708077267,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-the-godfather,BACKA THE GODFATHER,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,18.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKATHEGODFATHER.png?v=1708021870,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-speck,BACKA SPECK,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,49.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKASPECK.png?v=1708021832,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-smoked-cheese,BACKA SMOKED CHEESE,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,8.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKASMOKEDCHEESE.png?v=1708021783,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-smoked-beef,BACKA SMOKED BEEF,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,39.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKASMOKEDBEEF.png?v=1708021716,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-sliced-prosciutto,BACKA SLICED PROSCIUTTO,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKASLICEDPROSCIUTTO.png?v=1708021676,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
backa-sliced-ham,BACKA SLICED HAM,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,29.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKASLICEDHAM.png?v=1708021627,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-sliced-bacon,BACKA SLICED BACON,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,25.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/Baked-bacon-in-the-oven.png?v=1708021566,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-red-wine-240g,BACKA RED WINE 240G,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/Red-Wine_1c420432-2ade-4ce8-9324-98b69038b226.png?v=1708021521,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
backa-red-wine,BACKA RED WINE,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/Red-Wine.png?v=1708021498,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
backa-pork-kulin,BACKA PORK KULIN,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,18.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/Mild-Pork-Kulin.png?v=1708021440,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-pepperoni-sticks,BACKA PEPPERONI STICKS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,8.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKAPEPPERONISTICKS.png?v=1708021401,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-open,BACKA OPEN,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,,,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
backa-miss-piggy,BACKA MISS PIGGY,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,,,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
backa-mini-prosciutto,BACKA MINI PROSCIUTTO,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,40.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKAMINIPROSCIUTTO.png?v=1708021284,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-mini-chorizo,BACKA MINI CHORIZO,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKAMINICHORIZO.png?v=1708021222,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
